,Astacus astacus,Austropotamobius bihariensis,Austropotamobius fulcisianus,Austropotamobius pallipes,Austropotamobius torrentium,Cambaroides similis,Euastacus armatus,Pacifastacus leniusculus,Parastacus pugnax,Pontastacus leptodactylus
Astacus astacus,0.9047903418540955,0.6839914321899414,0.27713480591773987,0.1471269577741623,0.6564376354217529,0.1604071706533432,0.21530543267726898,0.25501689314842224,0.12285333126783371,0.5675825476646423
Austropotamobius bihariensis,0.19640980660915375,0.9191999435424805,0.229559987783432,0.16750380396842957,0.3889315724372864,0.22497142851352692,0.05826545134186745,0.15906479954719543,0.06654666364192963,0.055370479822158813
Austropotamobius fulcisianus,0.22056514024734497,0.5239617228507996,0.8656519055366516,0.32335174083709717,0.5736492276191711,0.5635571479797363,0.3614981472492218,0.46875208616256714,0.4843199849128723,0.2120906263589859
Austropotamobius pallipes,0.06006437540054321,0.06587659567594528,0.2827526032924652,0.9616705775260925,0.11558814346790314,0.02363571524620056,0.252956360578537,0.4196450412273407,0.11242666095495224,0.14558379352092743
Austropotamobius torrentium,0.467002809047699,0.8673447370529175,0.5288340449333191,0.19240309298038483,0.8723295331001282,0.26654285192489624,0.20618543028831482,0.24146762490272522,0.1077333390712738,0.2636648416519165
Cambaroides similis,0.0031260813120752573,0.003000000724568963,0.003000000724568963,0.0029998121317476034,0.006765151862055063,0.9966856837272644,0.0030000009573996067,0.12617748975753784,0.9969998598098755,0.02862037718296051
Euastacus armatus,0.005402416922152042,0.019323403015732765,0.010431110858917236,0.10826685279607773,0.008325758390128613,0.004392857197672129,0.9852290749549866,0.10694647580385208,0.6948000192642212,0.03367650508880615
Pacifastacus leniusculus,0.20159365236759186,0.089378722012043,0.22508147358894348,0.14403536915779114,0.16889344155788422,0.5929785370826721,0.34885817766189575,0.935822606086731,0.9535332918167114,0.3619929254055023
Parastacus pugnax,0.0037367690820246935,0.0037744687870144844,0.003000000724568963,0.0035029619466513395,0.006765151862055063,0.9072142243385315,0.004952725954353809,0.20004791021347046,0.9969998598098755,0.024941375479102135
Pontastacus leptodactylus,0.6382147669792175,0.2193276584148407,0.27609336376190186,0.3099333345890045,0.404170423746109,0.1856071501970291,0.7825089693069458,0.5419013500213623,0.43769338726997375,0.831563413143158
