species,n_vars_climate_local,n_vars_full_geofresh
Astacus astacus,6,16
Austropotamobius bihariensis,6,16
Austropotamobius fulcisianus,6,16
Austropotamobius pallipes,6,16
Austropotamobius torrentium,6,16
Cambarellus (Pandicambarus) puer,6,16
Cambarellus (Pandicambarus) shufeldtii,6,16
Cambaroides similis,6,16
Cambarus acuminatus,6,16
Cambarus angularis,6,16
Cambarus appalachiensis,6,16
Cambarus asperimanus,6,16
Cambarus bartonii,6,16
Cambarus bartonii bartonii,6,16
Cambarus bartonii cavatus,6,16
Cambarus carinirostris,6,16
Cambarus chasmodactylus,6,16
Cambarus chaugaensis,6,16
Cambarus coosae,6,16
Cambarus cumberlandensis,6,16
Cambarus davidi,6,16
Cambarus distans,6,16
Cambarus dubius,6,16
Cambarus eeseeohensis,6,16
Cambarus elkensis,6,16
Cambarus georgiae,6,16
Cambarus girardianus,6,16
Cambarus graysoni,6,16
Cambarus halli,6,16
Cambarus hatfieldi,6,16
Cambarus hiwasseensis,6,16
Cambarus hobbsorum,6,16
Cambarus howardi,6,16
Cambarus hubbsi,6,16
Cambarus hystricosus,6,16
Cambarus jezerinaci,6,16
Cambarus johni,6,16
Cambarus latimanus,6,16
Cambarus lenati,6,16
Cambarus longirostris,6,16
Cambarus longulus,6,16
Cambarus maculatus,6,16
Cambarus obstipus,6,16
Cambarus ortmanni,6,16
Cambarus parvoculus,6,16
Cambarus reburrus,6,16
Cambarus reduncus,6,16
Cambarus reflexus,6,16
Cambarus robustus,6,16
Cambarus rusticiformis,6,16
Cambarus sciotensis,6,16
Cambarus scotti,6,16
Cambarus sphenoides,6,16
Cambarus striatus,6,16
Cambarus tenebrosus,6,16
Cambarus theepiensis,6,16
Cambarus unestami,6,16
Creaserinus fodiens,6,16
Euastacus armatus,6,16
Faxonella clypeata,6,16
Faxonius alabamensis,6,16
Faxonius carolinensis,6,16
Faxonius chickasawae,6,16
Faxonius compressus,6,16
Faxonius cristavarius,6,16
Faxonius durelli,6,16
Faxonius erichsonianus,6,16
Faxonius etnieri,6,16
Faxonius eupunctus,6,16
Faxonius forceps,6,16
Faxonius harrisonii,6,16
Faxonius holti,6,16
Faxonius hylas,6,16
Faxonius illinoiensis,6,16
Faxonius immunis,6,16
Faxonius indianensis,6,16
Faxonius juvenilis,6,16
Faxonius kentuckiensis,6,16
Faxonius lancifer,6,16
Faxonius leptogonopodus,6,16
Faxonius limosus,6,16
Faxonius longidigitus,6,16
Faxonius luteus,6,16
Faxonius macrus,6,16
Faxonius medius,6,16
Faxonius meeki,6,16
Faxonius mirus,6,16
Faxonius nais,6,16
Faxonius nana,6,16
Faxonius neglectus,6,16
Faxonius neglectus neglectus,6,16
Faxonius obscurus,6,16
Faxonius ozarkae,6,16
Faxonius palmeri,6,16
Faxonius palmeri longimanus,6,16
Faxonius perfectus,6,16
Faxonius peruncus,6,16
Faxonius placidus,6,16
Faxonius propinquus,6,16
Faxonius punctimanus,6,16
Faxonius putnami,6,16
Faxonius raymondi,6,16
Faxonius rusticus,6,16
Faxonius sanbornii,6,16
Faxonius sloanii,6,16
Faxonius spinosus,6,16
Faxonius validus,6,16
Faxonius virginiensis,6,16
Faxonius virilis,6,16
Faxonius williamsi,6,16
Faxonius yanahlindus,6,16
Lacunicambarus acanthura,6,16
Lacunicambarus chimera,6,16
Lacunicambarus diogenes,6,16
Lacunicambarus ludovicianus,6,16
Lacunicambarus nebrascensis,6,16
Lacunicambarus polychromatus,6,16
Lacunicambarus thomai,6,16
Orconectes australis,6,16
Pacifastacus leniusculus,6,16
Parastacus pugnax,6,16
Pontastacus leptodactylus,6,16
Procambarus acutissimus,6,16
Procambarus acutus,6,16
Procambarus alleni,6,16
Procambarus ancylus,6,16
Procambarus blandingii,6,16
Procambarus chacei,6,16
Procambarus clarkii,6,16
Procambarus enoplosternum,6,16
Procambarus fallax,6,16
Procambarus gracilis,6,16
Procambarus hayi,6,16
Procambarus hirsutus,6,16
Procambarus kensleyi,6,16
Procambarus lecontei,6,16
Procambarus liberorum,6,16
Procambarus lophotus,6,16
Procambarus ouachitae,6,16
Procambarus paeninsulanus,6,16
Procambarus parasimulans,6,16
Procambarus pearsei,6,16
Procambarus plumimanus,6,16
Procambarus pubescens,6,16
Procambarus raneyi,6,16
Procambarus seminolae,6,16
Procambarus simulans,6,16
Procambarus spiculifer,6,16
Procambarus suttkusi,6,16
Procambarus troglodytes,6,16
Procambarus verrucosus,6,16
Procambarus versutus,6,16
Procambarus viaeviridis,6,16
Procambarus vioscai,6,16
Procambarus vioscai paynei,6,16
