species,cluster,clustered_order
Procambarus lophotus,1,0
Faxonius holti,1,1
Faxonius perfectus,1,2
Procambarus acutissimus,1,3
Procambarus verrucosus,1,4
Procambarus spiculifer,1,5
Procambarus suttkusi,1,6
Procambarus versutus,1,7
Procambarus vioscai,1,8
Procambarus vioscai paynei,1,9
Faxonius etnieri,1,10
Faxonius chickasawae,1,11
Procambarus hayi,1,12
Procambarus viaeviridis,1,13
Cambarellus (Pandicambarus) puer,1,14
Cambarellus (Pandicambarus) shufeldtii,1,15
Faxonius lancifer,1,16
Faxonella clypeata,1,17
Lacunicambarus ludovicianus,1,18
Cambarus hystricosus,2,19
Lacunicambarus diogenes,2,20
Creaserinus fodiens,2,21
Procambarus acutus,2,22
Faxonius carolinensis,2,23
Faxonius virginiensis,2,24
Cambarus davidi,2,25
Cambarus hobbsorum,2,26
Cambarus reduncus,2,27
Procambarus alleni,2,28
Procambarus fallax,2,29
Procambarus paeninsulanus,2,30
Procambarus seminolae,2,31
Procambarus lecontei,2,32
Procambarus clarkii,2,33
Procambarus kensleyi,2,34
Procambarus pubescens,2,35
Procambarus enoplosternum,2,36
Cambarus reflexus,2,37
Procambarus hirsutus,2,38
Procambarus plumimanus,2,39
Procambarus blandingii,2,40
Procambarus pearsei,2,41
Procambarus ancylus,2,42
Procambarus chacei,2,43
Procambarus troglodytes,2,44
Faxonius eupunctus,3,45
Faxonius ozarkae,3,46
Faxonius meeki,3,47
Faxonius williamsi,3,48
Faxonius nana,3,49
Faxonius macrus,3,50
Faxonius neglectus neglectus,3,51
Faxonius longidigitus,3,52
Faxonius neglectus,3,53
Faxonius nais,3,54
Procambarus simulans,3,55
Procambarus ouachitae,3,56
Procambarus parasimulans,3,57
Procambarus liberorum,3,58
Faxonius palmeri,3,59
Faxonius leptogonopodus,3,60
Faxonius palmeri longimanus,3,61
Faxonius illinoiensis,4,62
Faxonius indianensis,4,63
Faxonius kentuckiensis,4,64
Lacunicambarus chimera,4,65
Faxonius medius,4,66
Cambarus maculatus,4,67
Faxonius harrisonii,4,68
Cambarus hubbsi,4,69
Faxonius punctimanus,4,70
Faxonius luteus,4,71
Faxonius hylas,4,72
Faxonius peruncus,4,73
Lacunicambarus nebrascensis,4,74
Faxonius propinquus,4,75
Faxonius immunis,4,76
Faxonius virilis,4,77
Procambarus gracilis,4,78
Lacunicambarus polychromatus,4,79
Cambarus ortmanni,4,80
Faxonius sloanii,4,81
Faxonius raymondi,4,82
Cambarus bartonii cavatus,4,83
Faxonius rusticus,4,84
Cambarus sciotensis,4,85
Faxonius sanbornii,4,86
Lacunicambarus thomai,4,87
Cambarus hiwasseensis,5,88
Cambarus parvoculus,5,89
Cambarus unestami,5,90
Faxonius forceps,5,91
Orconectes australis,5,92
Faxonius compressus,5,93
Faxonius durelli,5,94
Cambarus graysoni,5,95
Cambarus tenebrosus,5,96
Cambarus rusticiformis,5,97
Faxonius placidus,5,98
Cambarus cumberlandensis,5,99
Cambarus distans,5,100
Cambarus sphenoides,5,101
Faxonius juvenilis,5,102
Faxonius putnami,5,103
Faxonius alabamensis,5,104
Faxonius yanahlindus,5,105
Cambarus girardianus,5,106
Faxonius mirus,5,107
Cambarus striatus,5,108
Faxonius spinosus,5,109
Faxonius validus,5,110
Cambarus scotti,5,111
Faxonius erichsonianus,5,112
Lacunicambarus acanthura,5,113
Cambarus coosae,5,114
Cambarus obstipus,5,115
Cambarus halli,5,116
Cambarus latimanus,5,117
Procambarus raneyi,5,118
Pacifastacus leniusculus,6,119
Cambaroides similis,6,120
Parastacus pugnax,6,121
Austropotamobius pallipes,6,122
Euastacus armatus,6,123
Astacus astacus,6,124
Pontastacus leptodactylus,6,125
Austropotamobius fulcisianus,6,126
Austropotamobius bihariensis,6,127
Austropotamobius torrentium,6,128
Cambarus howardi,6,129
Cambarus johni,6,130
Cambarus lenati,6,131
Cambarus acuminatus,6,132
Cambarus longulus,6,133
Cambarus asperimanus,6,134
Cambarus chaugaensis,6,135
Cambarus georgiae,6,136
Cambarus reburrus,6,137
Cambarus eeseeohensis,6,138
Cambarus appalachiensis,6,139
Cambarus chasmodactylus,6,140
Cambarus longirostris,6,141
Cambarus bartonii,6,142
Cambarus dubius,6,143
Cambarus angularis,6,144
Cambarus jezerinaci,6,145
Cambarus hatfieldi,6,146
Cambarus theepiensis,6,147
Faxonius cristavarius,6,148
Cambarus bartonii bartonii,6,149
Faxonius limosus,6,150
Cambarus elkensis,6,151
Cambarus robustus,6,152
Cambarus carinirostris,6,153
Faxonius obscurus,6,154
