rank,species_a,species_b,full_geofresh_pair_mean,climate_local_pair_mean,diff_full_minus_climate,abs_diff
1,Faxonius holti,Procambarus ouachitae,0.6884319484233856,0.17106826230883598,0.5173636861145496,0.5173636861145496
2,Cambarus reflexus,Procambarus vioscai paynei,0.6713138818740845,0.2032372299581766,0.46807665191590786,0.46807665191590786
3,Faxonius eupunctus,Faxonius leptogonopodus,0.5160303264856339,0.11969849467277527,0.3963318318128586,0.3963318318128586
4,Euastacus armatus,Procambarus alleni,0.07583165960386395,0.4512643739581108,-0.37543271435424685,0.37543271435424685
5,Cambarus reflexus,Procambarus ancylus,0.6588876247406006,0.294869989156723,0.36401763558387756,0.36401763558387756
6,Faxonius leptogonopodus,Faxonius neglectus neglectus,0.5046735256910324,0.14149952679872513,0.3631739988923073,0.3631739988923073
7,Cambarellus (Pandicambarus) puer,Procambarus seminolae,0.6437088847160339,0.28273776918649673,0.3609711155295372,0.3609711155295372
8,Cambarus lenati,Cambarus reburrus,0.14906999468803406,0.5083316415548325,-0.3592616468667984,0.3592616468667984
9,Faxonius harrisonii,Lacunicambarus chimera,0.147774338722229,0.5064504146575928,-0.35867607593536377,0.35867607593536377
10,Faxonius mirus,Faxonius virginiensis,0.10946794413030148,0.46197278797626495,-0.3525048438459635,0.3525048438459635
11,Cambarus hystricosus,Procambarus plumimanus,0.07896151207387447,0.4227298069745302,-0.34376829490065575,0.34376829490065575
12,Cambarus reflexus,Faxonius perfectus,0.580502063035965,0.23892071843147278,0.3415813446044922,0.3415813446044922
13,Faxonius kentuckiensis,Faxonius neglectus neglectus,0.15129133313894272,0.49170567095279694,-0.3404143378138542,0.3404143378138542
14,Procambarus hirsutus,Procambarus vioscai paynei,0.45794445276260376,0.11905554961413145,0.3388889031484723,0.3388889031484723
15,Lacunicambarus nebrascensis,Procambarus verrucosus,0.3501913445070386,0.011651202570647001,0.3385401419363916,0.3385401419363916
16,Procambarus kensleyi,Procambarus seminolae,0.6890185177326202,0.3514463007450104,0.33757221698760986,0.33757221698760986
17,Cambarellus (Pandicambarus) shufeldtii,Faxonius longidigitus,0.1530718021094799,0.48672206699848175,-0.33365026488900185,0.33365026488900185
18,Faxonius erichsonianus,Faxonius virginiensis,0.09681590646505356,0.4279872477054596,-0.33117134124040604,0.33117134124040604
19,Cambarus georgiae,Cambarus parvoculus,0.268563836812973,0.5959364622831345,-0.32737262547016144,0.32737262547016144
20,Parastacus pugnax,Procambarus alleni,0.09891333431005478,0.4235874265432358,-0.324674092233181,0.324674092233181
21,Cambarus scotti,Faxonius mirus,0.44627587497234344,0.1281520240008831,0.31812385097146034,0.31812385097146034
22,Cambarus appalachiensis,Cambarus hatfieldi,0.15796423703432083,0.4757360965013504,-0.31777185946702957,0.31777185946702957
23,Faxonius virilis,Lacunicambarus nebrascensis,0.4639533255249262,0.7814834713935852,-0.317530145868659,0.317530145868659
24,Cambarellus (Pandicambarus) puer,Cambarus reflexus,0.4355117082595825,0.11924999766051769,0.3162617105990648,0.3162617105990648
25,Faxonius holti,Procambarus verrucosus,0.32104605436325073,0.6372601687908173,-0.31621411442756653,0.31621411442756653
26,Faxonius hylas,Lacunicambarus chimera,0.31130894273519516,0.6258355677127838,-0.31452662497758865,0.31452662497758865
27,Cambarus scotti,Orconectes australis,0.5757511258125305,0.26213013753294945,0.31362098827958107,0.31362098827958107
28,Faxonius peruncus,Lacunicambarus chimera,0.3345866948366165,0.6480220556259155,-0.313435360789299,0.313435360789299
29,Lacunicambarus nebrascensis,Procambarus gracilis,0.4432397112250328,0.7540827989578247,-0.3108430877327919,0.3108430877327919
30,Faxonius carolinensis,Procambarus pearsei,0.5961224436759949,0.2856014668941498,0.3105209767818451,0.3105209767818451
31,Cambarus rusticiformis,Faxonius yanahlindus,0.10799410566687584,0.4180706813931465,-0.3100765757262707,0.3100765757262707
32,Cambarus rusticiformis,Faxonius alabamensis,0.08535921573638916,0.3918279930949211,-0.30646877735853195,0.30646877735853195
33,Cambarellus (Pandicambarus) shufeldtii,Cambarus hubbsi,0.2531924694776535,0.5596383064985275,-0.306445837020874,0.306445837020874
34,Faxonius holti,Procambarus parasimulans,0.3750944063067436,0.0710189500823617,0.3040754562243819,0.3040754562243819
35,Faxonius carolinensis,Faxonius erichsonianus,0.1047007255256176,0.40755441784858704,-0.30285369232296944,0.30285369232296944
36,Cambarellus (Pandicambarus) shufeldtii,Faxonius punctimanus,0.20962060242891312,0.5109352916479111,-0.30131468921899796,0.30131468921899796
37,Cambaroides similis,Parastacus pugnax,0.9521070420742035,0.6521642357110977,0.2999428063631058,0.2999428063631058
38,Cambarus coosae,Faxonius chickasawae,0.27383704110980034,0.5723326355218887,-0.2984955944120884,0.2984955944120884
39,Cambarellus (Pandicambarus) shufeldtii,Faxonius neglectus,0.1555093452334404,0.45386725664138794,-0.29835791140794754,0.29835791140794754
40,Faxonius illinoiensis,Faxonius neglectus neglectus,0.13366851955652237,0.43174128234386444,-0.29807276278734207,0.29807276278734207
41,Cambarus chaugaensis,Cambarus obstipus,0.4151488244533539,0.11747526749968529,0.2976735569536686,0.2976735569536686
42,Faxonius neglectus neglectus,Procambarus viaeviridis,0.09147886373102665,0.3882082551717758,-0.29672939144074917,0.29672939144074917
43,Faxonius leptogonopodus,Faxonius yanahlindus,0.33952272357419133,0.636171817779541,-0.2966490942053497,0.2966490942053497
44,Faxonius kentuckiensis,Faxonius williamsi,0.1548871248960495,0.4506411701440811,-0.2957540452480316,0.2957540452480316
45,Cambarus reflexus,Procambarus parasimulans,0.31505996733903885,0.019526429940015078,0.29553353739902377,0.29553353739902377
46,Faxonius kentuckiensis,Faxonius neglectus,0.20554328709840775,0.5001639053225517,-0.294620618224144,0.294620618224144
47,Faxonius leptogonopodus,Faxonius macrus,0.3320976570248604,0.03859794791787863,0.29349970910698175,0.29349970910698175
48,Cambarus reflexus,Procambarus paeninsulanus,0.4297161102294922,0.13631056249141693,0.29340554773807526,0.29340554773807526
49,Faxonella clypeata,Procambarus pearsei,0.42464181780815125,0.13242339715361595,0.2922184206545353,0.2922184206545353
50,Faxonius longidigitus,Lacunicambarus chimera,0.3241349756717682,0.6162821352481842,-0.292147159576416,0.292147159576416
