rank,species,full_geofresh_outgoing_mean,climate_local_outgoing_mean,shift_full_minus_climate,abs_shift
1,Cambarus reflexus,0.167291847172544,0.0688467125964726,0.0984451345760714,0.0984451345760714
2,Cambarellus (Pandicambarus) shufeldtii,0.23426066377720275,0.3275546910870191,-0.09329402730981637,0.09329402730981637
3,Procambarus acutus,0.36967281837548527,0.4628482905107659,-0.09317547213528066,0.09317547213528066
4,Lacunicambarus diogenes,0.3354707344181158,0.4242284436552943,-0.08875770923717846,0.08875770923717846
5,Faxonius williamsi,0.08084494963457639,0.16830069742879117,-0.08745574779421478,0.08745574779421478
6,Creaserinus fodiens,0.37123265197234495,0.4504404066057948,-0.07920775463344987,0.07920775463344987
7,Cambarus eeseeohensis,0.02594318884037822,0.0975239286683016,-0.07158073982792339,0.07158073982792339
8,Faxonius virginiensis,0.10393835891449413,0.1647509951386359,-0.060812636224141764,0.060812636224141764
9,Faxonius forceps,0.2183456298375091,0.27739650284411843,-0.05905087300660933,0.05905087300660933
10,Cambarus reburrus,0.03060761291848181,0.08661648733904223,-0.05600887442056042,0.05600887442056042
11,Procambarus pubescens,0.0834649422012463,0.13542749545561125,-0.051962553254364954,0.051962553254364954
12,Faxonius neglectus neglectus,0.13793823240300665,0.18838333776341631,-0.050445105360409664,0.050445105360409664
13,Procambarus raneyi,0.1589598496529189,0.20658761771492562,-0.04762776806200672,0.04762776806200672
14,Cambarus halli,0.05332927038747962,0.100558167338589,-0.04722889695110937,0.04722889695110937
15,Procambarus viaeviridis,0.1838637354553907,0.23008450398269992,-0.04622076852730922,0.04622076852730922
16,Cambarus theepiensis,0.10140748473803525,0.14409278045323762,-0.04268529571520237,0.04268529571520237
17,Cambarus coosae,0.1417551383787355,0.18268907512235757,-0.040933936743622085,0.040933936743622085
18,Cambarus hatfieldi,0.04580986682119985,0.08133254839597245,-0.035522681574772605,0.035522681574772605
19,Cambarus rusticiformis,0.18138042768439303,0.215790157079358,-0.03440972939496498,0.03440972939496498
20,Cambarus jezerinaci,0.1250154353805225,0.09074579258812229,0.03426964279240022,0.03426964279240022
21,Faxonella clypeata,0.19580424607840258,0.22966182880200348,-0.0338575827236009,0.0338575827236009
22,Procambarus hirsutus,0.10169082000101735,0.0682927088860374,0.03339811111497995,0.03339811111497995
23,Faxonius harrisonii,0.0476248824043659,0.08093037955499217,-0.03330549715062627,0.03330549715062627
24,Faxonius erichsonianus,0.22606053119888167,0.25912781276244234,-0.033067281563560674,0.033067281563560674
25,Procambarus pearsei,0.11543284602880527,0.08396281037092596,0.031470035657879314,0.031470035657879314
26,Faxonius raymondi,0.09456315917845864,0.06375620304153289,0.03080695613692576,0.03080695613692576
27,Cambarus davidi,0.11129462859569142,0.14142043741613433,-0.030125808820442912,0.030125808820442912
28,Cambarus elkensis,0.042713473525273236,0.0725608487105505,-0.029847375185277268,0.029847375185277268
29,Lacunicambarus ludovicianus,0.22203709048448833,0.25182515662163496,-0.02978806613714663,0.02978806613714663
30,Lacunicambarus nebrascensis,0.03892173650281431,0.06759280949383491,-0.028671072991020598,0.028671072991020598
31,Faxonius spinosus,0.26536026632098797,0.23724672316827558,0.02811354315271239,0.02811354315271239
32,Faxonius juvenilis,0.2986760608513247,0.3254751924957548,-0.026799131644430096,0.026799131644430096
33,Faxonius eupunctus,0.08628658157495128,0.0596562545087382,0.02663032706621308,0.02663032706621308
34,Faxonius holti,0.10500397176675305,0.0785253623034805,0.026478609463272545,0.026478609463272545
35,Lacunicambarus acanthura,0.22737543188132248,0.20113572813933353,0.026239703741988946,0.026239703741988946
36,Cambarus cumberlandensis,0.09319440107913567,0.11916770988337502,-0.025973308804239356,0.025973308804239356
37,Faxonius perfectus,0.1494599681154087,0.12393805897468096,0.025521909140727744,0.025521909140727744
38,Cambarus georgiae,0.10513753950438619,0.08002177627708812,0.02511576322729807,0.02511576322729807
39,Faxonius immunis,0.15052940431595235,0.1743793606201743,-0.02384995630422196,0.02384995630422196
40,Faxonius palmeri longimanus,0.12250367744354071,0.14630879420641954,-0.02380511676287883,0.02380511676287883
41,Cambarus chasmodactylus,0.07899615550776581,0.10277675417578452,-0.02378059866801871,0.02378059866801871
42,Procambarus chacei,0.13970925507752538,0.11617555032036715,0.023533704757158228,0.023533704757158228
43,Faxonius durelli,0.12806293104364017,0.15122360872806279,-0.02316067768442262,0.02316067768442262
44,Faxonius macrus,0.09409730964757551,0.07104658831648722,0.023050721331088292,0.023050721331088292
45,Faxonius longidigitus,0.12644114806740123,0.14907646812377617,-0.022635320056374947,0.022635320056374947
46,Faxonius neglectus,0.17395310168602057,0.19602544346896858,-0.022072341782948007,0.022072341782948007
47,Cambarus chaugaensis,0.07375992175989918,0.05184229500228902,0.021917626757610158,0.021917626757610158
48,Cambarus ortmanni,0.17027507307515902,0.19208875354137514,-0.021813680466216123,0.021813680466216123
49,Procambarus simulans,0.13328836076324443,0.1116244636730037,0.021663897090240733,0.021663897090240733
50,Procambarus hayi,0.15035287992327245,0.12877500388626154,0.021577876037010918,0.021577876037010918
