iteration,matrix_spearman_vs_primary,top20_donor_overlap_count,top20_acceptor_overlap_count
iter_001,0.9861379693365687,19,19
iter_002,0.9864664726851033,19,17
iter_003,0.98731188135084,19,18
iter_004,0.9823322223564671,20,19
iter_005,0.983444350153296,18,19
iter_006,0.9878403175277987,18,18
iter_007,0.9850989814017028,18,19
iter_008,0.9846890880809134,19,18
iter_009,0.9791901395943048,20,19
iter_010,0.9849821661465701,19,19
iter_011,0.9841994344835719,18,19
iter_012,0.9886279551315343,18,18
iter_013,0.9866765832690101,18,19
iter_014,0.9856504033485309,19,19
iter_015,0.9835986335985578,20,18
iter_016,0.9876618327497699,19,18
iter_017,0.9868013536047259,19,18
iter_018,0.9815575611726544,18,18
iter_019,0.9836163567230496,19,18
iter_020,0.9870787081208219,18,19
iter_021,0.9873838372614259,20,19
iter_022,0.9797487862968803,19,19
iter_023,0.9845604025328207,19,19
iter_024,0.9868408037181972,19,18
iter_025,0.9869764479489455,18,18
iter_026,0.9860635076928783,19,18
iter_027,0.9886533076356775,19,19
iter_028,0.9825792428531073,18,19
iter_029,0.98469945287372,19,18
iter_030,0.9887964668127814,18,19
iter_031,0.989005556348803,19,17
iter_032,0.9843978442898026,19,19
iter_033,0.986629506469043,19,19
iter_034,0.983808648495248,18,19
iter_035,0.9836423482177598,18,18
iter_036,0.9858812278120609,19,18
iter_037,0.9853289102099131,20,18
iter_038,0.9885583298521461,20,19
iter_039,0.9876823634583126,18,18
iter_040,0.9853240009976566,19,19
iter_041,0.9884597859266396,18,19
iter_042,0.9864211512066877,19,18
iter_043,0.9868888935906017,19,19
iter_044,0.9870159997100004,18,18
iter_045,0.9806944550224888,19,18
iter_046,0.9873822133141718,20,19
iter_047,0.9854241496930267,19,18
iter_048,0.9858174611047242,19,18
iter_049,0.9857999474236872,20,18
iter_050,0.9876223702758297,19,17
iter_051,0.9838464401531772,19,17
iter_052,0.9886236877476862,19,19
iter_053,0.9856502823516964,20,19
iter_054,0.9857701834291874,19,18
iter_055,0.9848512128438813,19,19
iter_056,0.9864996816682337,19,20
iter_057,0.9841816778221024,17,19
iter_058,0.9875533862757796,19,19
iter_059,0.9839302853271167,20,19
iter_060,0.9879754367519187,19,18
iter_061,0.9820654837473622,19,18
iter_062,0.9867362831008206,20,18
iter_063,0.9879460216703356,19,18
iter_064,0.9865711738895062,20,18
iter_065,0.9847512022130783,19,18
iter_066,0.9838485330143487,19,18
iter_067,0.9853496680182623,18,19
iter_068,0.9830044972491658,19,19
iter_069,0.9858120441300613,19,18
iter_070,0.9825409455173435,18,19
iter_071,0.9790612636472328,19,19
iter_072,0.9848089485397765,18,17
iter_073,0.9859048930707146,19,18
iter_074,0.9871069554754421,19,19
iter_075,0.9826062808922187,19,18
iter_076,0.9833700130021477,19,18
iter_077,0.9825830986538615,20,18
iter_078,0.9821519876162808,20,18
iter_079,0.9894978141271553,19,18
iter_080,0.9855825936503596,18,20
iter_081,0.9848491473042073,19,18
iter_082,0.9855670840138929,18,19
iter_083,0.983790512732897,19,19
iter_084,0.9882060577453586,19,18
iter_085,0.9834607604855042,19,17
iter_086,0.9803600830006309,20,18
iter_087,0.986271077147844,19,19
iter_088,0.9842076807705095,19,18
iter_089,0.9819793449911184,19,19
iter_090,0.9816034106239337,20,19
iter_091,0.9793180501844625,19,19
iter_092,0.9821480834690949,19,18
iter_093,0.9839249188804093,19,18
iter_094,0.9817680434517776,19,19
iter_095,0.9870180382834681,20,19
iter_096,0.9860411545169657,19,18
iter_097,0.9792696193056992,19,18
iter_098,0.9876289851263458,19,18
iter_099,0.9872313708539995,19,18
iter_100,0.9857508804943701,19,19
