species,donor_top20_frequency,acceptor_top20_frequency
Astacus astacus,0.0,0.0
Austropotamobius bihariensis,0.0,0.0
Austropotamobius fulcisianus,0.0,0.0
Austropotamobius pallipes,0.0,0.0
Austropotamobius torrentium,0.0,0.0
Cambarellus (Pandicambarus) puer,0.0,0.88
Cambarellus (Pandicambarus) shufeldtii,0.94,0.55
Cambaroides similis,0.0,0.0
Cambarus acuminatus,1.0,0.0
Cambarus angularis,0.0,0.0
Cambarus appalachiensis,0.0,0.0
Cambarus asperimanus,0.0,0.0
Cambarus bartonii,1.0,0.0
Cambarus bartonii bartonii,0.0,0.0
Cambarus bartonii cavatus,0.0,0.0
Cambarus carinirostris,0.0,0.0
Cambarus chasmodactylus,0.0,0.0
Cambarus chaugaensis,0.0,0.0
Cambarus coosae,0.0,0.2
Cambarus cumberlandensis,0.0,0.0
Cambarus davidi,0.0,0.0
Cambarus distans,0.0,0.0
Cambarus dubius,0.0,0.0
Cambarus eeseeohensis,0.0,0.0
Cambarus elkensis,0.0,0.0
Cambarus georgiae,0.0,0.0
Cambarus girardianus,0.0,0.0
Cambarus graysoni,0.69,0.0
Cambarus halli,0.0,0.0
Cambarus hatfieldi,0.0,0.0
Cambarus hiwasseensis,0.0,0.0
Cambarus hobbsorum,0.0,0.0
Cambarus howardi,0.83,0.0
Cambarus hubbsi,0.0,0.0
Cambarus hystricosus,0.0,0.0
Cambarus jezerinaci,0.0,0.0
Cambarus johni,0.0,0.0
Cambarus latimanus,1.0,0.0
Cambarus lenati,0.0,0.0
Cambarus longirostris,0.12,0.0
Cambarus longulus,0.0,0.0
Cambarus maculatus,0.0,0.0
Cambarus obstipus,0.0,0.78
Cambarus ortmanni,0.0,0.0
Cambarus parvoculus,0.0,0.0
Cambarus reburrus,0.0,0.0
Cambarus reduncus,0.0,0.0
Cambarus reflexus,0.0,0.0
Cambarus robustus,0.0,0.0
Cambarus rusticiformis,0.0,0.0
Cambarus sciotensis,0.0,0.0
Cambarus scotti,0.0,0.0
Cambarus sphenoides,0.0,0.0
Cambarus striatus,1.0,0.0
Cambarus tenebrosus,1.0,0.0
Cambarus theepiensis,0.0,0.0
Cambarus unestami,0.0,0.0
Creaserinus fodiens,1.0,0.0
Euastacus armatus,0.0,0.0
Faxonella clypeata,0.0,0.24
Faxonius alabamensis,0.0,0.0
Faxonius carolinensis,0.0,0.0
Faxonius chickasawae,0.0,1.0
Faxonius compressus,0.0,0.0
Faxonius cristavarius,0.0,0.0
Faxonius durelli,0.0,0.0
Faxonius erichsonianus,0.96,0.0
Faxonius etnieri,0.0,1.0
Faxonius eupunctus,0.0,0.0
Faxonius forceps,0.77,0.0
Faxonius harrisonii,0.0,0.0
Faxonius holti,0.0,1.0
Faxonius hylas,0.0,0.0
Faxonius illinoiensis,0.0,0.0
Faxonius immunis,0.0,0.0
Faxonius indianensis,0.0,0.0
Faxonius juvenilis,1.0,0.0
Faxonius kentuckiensis,0.0,0.0
Faxonius lancifer,1.0,1.0
Faxonius leptogonopodus,0.0,1.0
Faxonius limosus,0.0,0.0
Faxonius longidigitus,0.0,0.0
Faxonius luteus,0.0,0.0
Faxonius macrus,0.0,0.0
Faxonius medius,0.0,0.0
Faxonius meeki,0.0,0.0
