species,out_strength,in_strength,out_degree,in_degree,out_degree_centrality,in_degree_centrality,betweenness_centrality,eigenvector_centrality,mean_pairwise_asymmetry,cluster,network_community
Astacus astacus,9.178218917921185,6.719722793670371,8,6,0.05194805194805195,0.03896103896103896,0.005050505050505051,0.0016917716732436543,0.03006624072856669,6,1
Austropotamobius bihariensis,4.915117270313203,8.610804229276255,7,13,0.045454545454545456,0.08441558441558442,0.0002546473134708429,0.0028860146298124566,0.03755196925198248,6,1
Austropotamobius fulcisianus,17.197116984054446,9.485294663347304,35,12,0.2272727272727273,0.07792207792207792,0.008106272812155165,0.00476693285822068,0.06407059139463228,6,1
Austropotamobius pallipes,4.996799352578819,6.802770771086216,5,5,0.03246753246753247,0.03246753246753247,0.0,0.0009436079429018141,0.03181238029176345,6,1
Austropotamobius torrentium,13.300099352374673,8.870739446254447,22,14,0.14285714285714288,0.09090909090909091,0.014939309056956116,0.0027287990926539805,0.04352439962200482,6,1
Cambarellus (Pandicambarus) puer,30.71766277588904,26.28462002146989,59,61,0.38311688311688313,0.3961038961038961,0.03374076903488668,0.11753093509589971,0.10783946509896354,1,3
Cambarellus (Pandicambarus) shufeldtii,36.076142221689224,26.118781013879925,76,62,0.49350649350649356,0.4025974025974026,0.02750190985485103,0.09095117021019279,0.12363192744782896,1,3
Cambaroides similis,1.782195083796978,18.83595708804205,1,43,0.006493506493506494,0.27922077922077926,0.003649944826415415,0.032029559996520976,0.1129378929171808,6,1
Cambarus acuminatus,42.077316243201494,18.614927407354116,104,44,0.6753246753246753,0.28571428571428575,0.017316017316017316,0.04113099482549512,0.15975117446346718,6,2
Cambarus angularis,19.60851762164384,16.61335067357868,39,32,0.2532467532467533,0.2077922077922078,0.006153976742212037,0.02522304331976032,0.07368868825255663,6,2
Cambarus appalachiensis,12.726457219570875,13.965559377800673,26,24,0.16883116883116883,0.15584415584415584,0.0014854426619132501,0.014817352100589199,0.06613226123940345,6,2
Cambarus asperimanus,14.137269103899598,18.17777945823036,21,42,0.13636363636363638,0.27272727272727276,0.019650284356166708,0.04454329596890847,0.0667722848101894,6,2
Cambarus bartonii,42.85386185348034,16.580343820387498,86,42,0.5584415584415585,0.27272727272727276,0.02724726254138019,0.025931545755792786,0.1715788578526903,6,2
Cambarus bartonii bartonii,10.728613683022559,11.582571928855032,10,23,0.06493506493506494,0.14935064935064937,0.0041592394533571005,0.0077541911105780455,0.04181241779588163,6,4
Cambarus bartonii cavatus,19.455193461850286,12.84025806747377,34,23,0.2207792207792208,0.14935064935064937,0.0013156777862660216,0.009487413450589479,0.06699360247894928,4,4
Cambarus carinirostris,11.294842567294836,12.163496505236253,19,20,0.12337662337662339,0.12987012987012989,0.0011883541295306002,0.007631383467098495,0.04016130037950473,6,4
Cambarus chasmodactylus,12.165407948195934,14.892888895701617,20,26,0.12987012987012989,0.16883116883116883,0.0005092946269416858,0.017759321769873167,0.05633136170746928,6,2
Cambarus chaugaensis,11.359027951024473,22.054127394221723,18,42,0.1168831168831169,0.27272727272727276,0.006960359901536373,0.06937204646817466,0.09480648407978672,6,2
Cambarus coosae,21.830291310325265,25.746474544052035,51,53,0.33116883116883117,0.34415584415584416,0.0007215007215007215,0.10973486113132172,0.09701324151163655,5,2
Cambarus cumberlandensis,14.351937766186893,23.795521346852183,25,44,0.16233766233766234,0.28571428571428575,0.0001697648756472286,0.06664038492800761,0.08811882085638581,5,2
Cambarus davidi,17.139372803736478,19.27188890404068,31,41,0.2012987012987013,0.26623376623376627,0.0012732365673542145,0.05772660441932079,0.08479302014109327,2,3
Cambarus distans,23.702250613830984,22.795070012798533,45,47,0.29220779220779225,0.30519480519480524,0.01252015957898311,0.05907591539551391,0.08872436158292528,5,2
Cambarus dubius,27.920612053014338,15.843484027078375,49,34,0.3181818181818182,0.2207792207792208,0.007554536966301672,0.020192986444345955,0.09738186958046365,6,2
Cambarus eeseeohensis,3.995251081418246,15.175279667368159,6,27,0.03896103896103896,0.17532467532467533,0.0001697648756472286,0.02802556573471994,0.07716140582970066,6,2
Cambarus elkensis,6.577874922892079,19.305347645888105,4,39,0.025974025974025976,0.2532467532467533,0.001443001443001443,0.0323966658128393,0.09978150781667368,6,2
Cambarus georgiae,16.191181083675474,16.471343935932964,32,30,0.2077922077922078,0.19480519480519481,0.01027077497665733,0.03373938402855013,0.08214168741621754,6,2
Cambarus girardianus,27.24786423984915,24.598060467280447,52,50,0.33766233766233766,0.3246753246753247,0.0018249724132077074,0.0914184235573311,0.09272683717842613,5,2
Cambarus graysoni,32.98655747063458,24.040476141963154,64,53,0.4155844155844156,0.34415584415584416,0.0038621509209744503,0.07677636103792385,0.11109728288425544,5,2
Cambarus halli,8.212707639671862,22.621720027178526,12,46,0.07792207792207792,0.29870129870129875,0.0003819709702062643,0.10132056143336791,0.11436173922757244,5,2
Cambarus hatfieldi,7.054719490464777,16.63823500671424,10,31,0.06493506493506494,0.2012987012987013,0.0014005602240896359,0.026564109767185158,0.08019453024812188,6,2
Cambarus hiwasseensis,16.135800996795297,20.14452542969957,30,41,0.19480519480519481,0.26623376623376627,0.0016552075375604787,0.05566397992919815,0.07832990558636556,5,2
Cambarus hobbsorum,16.845767601393163,18.140241984045133,31,38,0.2012987012987013,0.24675324675324678,0.002886002886002886,0.05475701445029626,0.07462007305191758,2,3
Cambarus howardi,35.71454526297748,21.413507199846208,84,50,0.5454545454545455,0.3246753246753247,0.03467447585094644,0.05958456436770612,0.11938910040544806,6,2
Cambarus hubbsi,24.86783893033862,23.415046335663646,41,52,0.26623376623376627,0.33766233766233766,0.004880740174857822,0.05612847608717948,0.09680850914219855,4,4
Cambarus hystricosus,12.661564671900123,18.392316578887403,32,31,0.2077922077922078,0.2012987012987013,0.000551735845853493,0.06581758165527858,0.09493430232471943,2,3
Cambarus jezerinaci,19.252377048600465,20.827756649348885,42,39,0.27272727272727276,0.2532467532467533,0.013071895424836602,0.04288663581224865,0.08134123835978764,6,2
Cambarus johni,9.54610429983586,22.210308729670942,17,46,0.1103896103896104,0.29870129870129875,0.0035650623885918006,0.06245328065222281,0.0974216748440227,6,2
Cambarus latimanus,36.94648905843496,20.728322270791978,66,48,0.4285714285714286,0.3116883116883117,0.033273915626856804,0.07354342504174788,0.14032137134209177,5,3
Cambarus lenati,6.732104625552893,22.86081355717033,6,43,0.03896103896103896,0.27922077922077926,4.244121891180715e-05,0.06648602278340464,0.11409915499872976,6,2
Cambarus longirostris,32.202724136412144,17.215688892174512,69,43,0.4480519480519481,0.27922077922077926,0.025082760376878024,0.034425194607396625,0.11532059722797727,6,2
Cambarus longulus,20.38464995007962,17.909186916425824,43,42,0.27922077922077926,0.27272727272727276,0.003734827264239029,0.035878447819640225,0.061621201266957956,6,2
Cambarus maculatus,9.574384039733559,20.4429271875415,9,34,0.05844155844155845,0.2207792207792208,0.0001697648756472286,0.03695998768818884,0.08047010114132246,4,4
Cambarus obstipus,15.815998082514852,26.057599995750934,32,48,0.2077922077922078,0.3116883116883117,0.0041167982344452935,0.11101327253128845,0.1198864413014093,5,2
Cambarus ortmanni,26.22236125357449,14.863787001464516,62,29,0.4025974025974026,0.18831168831168832,0.0074272133095662505,0.015627535967556345,0.09297673135403205,4,4
Cambarus parvoculus,21.222687245346606,22.927281790412962,42,47,0.27272727272727276,0.30519480519480524,0.0066632713691537225,0.06672671925915005,0.09147269255784038,5,2
Cambarus reburrus,4.713572389446199,15.886595105053857,8,25,0.05194805194805195,0.16233766233766234,0.0,0.027523806253545235,0.07432055137537469,6,2
Cambarus reduncus,21.406832831911743,18.892749265301973,38,41,0.24675324675324678,0.26623376623376627,0.0033528562940327647,0.05867827889587811,0.08977675120128537,2,3
Cambarus reflexus,25.762944464571774,21.40076026180759,53,38,0.34415584415584416,0.24675324675324678,0.01684916390798744,0.10442847488425447,0.1000235533105911,2,3
Cambarus robustus,29.114255910739303,13.566402660217136,57,30,0.37012987012987014,0.19480519480519481,0.011883541295306001,0.009956435324628147,0.1030494410623252,6,2
Cambarus rusticiformis,27.932585863396525,24.44217924703844,66,48,0.4285714285714286,0.3116883116883117,0.010355657414480943,0.07069564305987902,0.09375753437997411,5,2
Cambarus sciotensis,24.602735332213342,14.038130718981847,50,28,0.3246753246753247,0.18181818181818182,0.0074272133095662505,0.01122618206756873,0.08259473774467244,4,4
Cambarus scotti,21.801168279722333,24.228666746756062,45,46,0.29220779220779225,0.29870129870129875,0.00759697818521348,0.09862761111317084,0.09525729544829674,5,2
Cambarus sphenoides,20.701707621105015,23.02597498567775,40,42,0.25974025974025977,0.27272727272727276,0.0029708853238265003,0.062372840011260096,0.08562590661095817,5,2
Cambarus striatus,50.73934258148074,25.623744907788932,97,59,0.6298701298701299,0.38311688311688313,0.025379848909260674,0.10845594378859527,0.18412428369213427,5,2
Cambarus tenebrosus,44.532101364806294,23.17512692208402,104,59,0.6753246753246753,0.38311688311688313,0.03284950343773873,0.06407580485669584,0.1543220871675445,5,4
Cambarus theepiensis,15.616752649657428,15.800421856110916,27,29,0.17532467532467533,0.18831168831168832,0.0011883541295306002,0.01982371177458902,0.05408105807675218,6,2
Cambarus unestami,19.132300891913474,21.875170653685927,45,39,0.29220779220779225,0.2532467532467533,0.013496307613954673,0.07041430008554983,0.1109027362356035,5,2
